Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
30000.00,2013-01-01,debt_consolidation,754,32.01%,559xx,MN,< 1 year,0
15000.00,2013-01-01,medical,728,27.01%,945xx,CA,< 1 year,0
2500.00,2013-01-01,other,723,0.92%,190xx,PA,7 years,0
4000.00,2013-01-01,car,563,24.92%,296xx,SC,< 1 year,0
22000.00,2013-01-01,debt_consolidation,0,26.91%,735xx,OK,< 1 year,0
6000.00,2013-01-01,debt_consolidation,640,11.82%,794xx,TX,< 1 year,0
10000.00,2013-01-01,debt_consolidation,606,22.15%,296xx,SC,< 1 year,0
35000.00,2013-01-01,debt_consolidation,670,66.31%,490xx,MI,< 1 year,0
10000.00,2013-01-01,debt_consolidation,558,37.1%,782xx,TX,< 1 year,0
31000.00,2013-01-01,debt_consolidation,695,30.71%,328xx,FL,< 1 year,0
9000.00,2013-01-01,debt_consolidation,649,8.88%,190xx,PA,< 1 year,0
1000.00,2013-01-01,other,0,0%,900xx,CA,< 1 year,0
2000.00,2013-01-01,other,638,9.35%,207xx,MD,< 1 year,0
15000.00,2013-01-01,debt_consolidation,551,8.2%,454xx,OH,< 1 year,0
35000.00,2013-01-01,other,479,0%,735xx,OK,< 1 year,0
1200.00,2013-01-01,other,605,51.05%,985xx,WA,< 1 year,0
2500.00,2013-01-01,other,534,57.55%,307xx,GA,< 1 year,0
5000.00,2013-01-01,car,0,0%,338xx,FL,< 1 year,0
30000.00,2013-01-01,debt_consolidation,643,13.6%,088xx,NJ,< 1 year,0
6000.00,2013-01-01,Medical,715,13.71%,350xx,AL,10+ years,0
10000.00,2013-01-01,car,602,0.97%,762xx,TX,< 1 year,0
5000.00,2013-01-01,home_improvement,634,1.58%,273xx,NC,< 1 year,0
15000.00,2013-01-01,debt_consolidation,0,0%,913xx,CA,< 1 year,0
2700.00,2013-01-01,debt_consolidation,502,5.81%,073xx,NJ,< 1 year,0
1000.00,2013-01-01,moving,548,1.41%,314xx,GA,< 1 year,0
10000.00,2013-01-01,other,506,0%,761xx,TX,< 1 year,0
6000.00,2013-01-01,other,655,8.15%,756xx,TX,< 1 year,0
5000.00,2013-01-01,small_business,660,1.78%,282xx,NC,< 1 year,0
35000.00,2013-01-01,credit_card,696,10.58%,018xx,MA,< 1 year,0
6500.00,2013-01-01,debt_consolidation,758,44.88%,786xx,TX,< 1 year,0
24000.00,2013-01-01,debt_consolidation,632,31.05%,333xx,FL,< 1 year,0
5000.00,2013-01-01,debt_consolidation,600,5.2%,441xx,OH,< 1 year,0
1000.00,2013-01-01,debt_consolidation,0,0%,647xx,MO,< 1 year,0
5000.00,2013-01-01,small_business,581,19.86%,140xx,NY,< 1 year,0
2000.00,2013-01-01,medical,551,0%,730xx,OK,< 1 year,0
20000.00,2013-01-01,debt_consolidation,648,17.81%,212xx,MD,< 1 year,0
3500.00,2013-01-01,debt_consolidation,637,30.12%,480xx,MI,< 1 year,0
10000.00,2013-01-01,debt_consolidation,656,13.18%,750xx,TX,< 1 year,0
10000.00,2013-01-01,small_business,613,13.22%,769xx,TX,< 1 year,0
20000.00,2013-01-01,house,647,20.11%,932xx,CA,< 1 year,0
15000.00,2013-01-01,debt_consolidation,662,48.07%,815xx,CO,< 1 year,0
35000.00,2013-01-01,credit_card,608,27.62%,276xx,NC,< 1 year,0
2000.00,2013-01-01,other,,-1%,319xx,GA,< 1 year,0
14000.00,2013-01-01,debt_consolidation,636,23.68%,325xx,FL,< 1 year,0
2000.00,2013-01-01,debt_consolidation,678,33.06%,631xx,MO,< 1 year,0
11000.00,2013-01-01,small_business,624,20.87%,980xx,WA,< 1 year,0
20000.00,2013-01-01,credit_card,658,9.74%,281xx,NC,< 1 year,0
12500.00,2013-01-01,debt_consolidation,580,34.58%,019xx,MA,< 1 year,0
1000.00,2013-01-01,home_improvement,0,0%,191xx,PA,< 1 year,0
18000.00,2013-01-01,CONSOLIDATION,679,14.44%,021xx,MA,5 years,0
2000.00,2013-01-01,credit_card,675,56.12%,651xx,MO,< 1 year,0
7500.00,2013-01-01,car,0,0%,344xx,FL,< 1 year,0
5000.00,2013-01-01,other,548,0%,281xx,NC,< 1 year,0
20000.00,2013-01-01,debt_consolidation,647,16.24%,334xx,FL,< 1 year,0
35000.00,2013-01-01,Debt Consolidation for the New Year,680,34.53%,068xx,CT,4 years,0
6000.00,2013-01-01,moving,597,1.09%,328xx,FL,< 1 year,0
1000.00,2013-01-01,credit_card,447,14.37%,236xx,VA,< 1 year,0
25000.00,2013-01-01,other,616,79.62%,190xx,PA,< 1 year,0
1000.00,2013-01-01,debt_consolidation,433,3.66%,986xx,WA,< 1 year,0
35000.00,2013-01-01,debt_consolidation,685,38.21%,347xx,FL,< 1 year,0
34950.00,2013-01-01,debt_consolidation,771,35.71%,427xx,KY,< 1 year,0
35000.00,2013-01-01,debt_consolidation,696,34.3%,240xx,VA,< 1 year,0
15000.00,2013-01-01,debt_consolidation,674,42.88%,799xx,TX,< 1 year,0
1000.00,2013-01-01,credit_card,0,0%,761xx,TX,< 1 year,0
30000.00,2013-01-01,debt_consolidation,627,12.97%,405xx,KY,< 1 year,0
3000.00,2013-01-01,debt_consolidation,609,3.53%,200xx,DC,< 1 year,0
20000.00,2013-01-01,debt_consolidation,650,21.58%,754xx,TX,< 1 year,0
1300.00,2013-01-01,debt_consolidation,683,25.2%,765xx,TX,< 1 year,0
30000.00,2013-01-01,debt_consolidation,644,3.32%,119xx,NY,< 1 year,0
5000.00,2013-01-01,small_business,565,81.11%,606xx,IL,< 1 year,0
35000.00,2013-01-01,home_improvement,556,2.01%,640xx,MO,< 1 year,0
5000.00,2013-01-01,debt_consolidation,565,1.11%,761xx,TX,< 1 year,0
1600.00,2013-01-01,debt_consolidation,668,24.36%,335xx,FL,< 1 year,0
4500.00,2013-01-01,debt_consolidation,712,12.98%,303xx,GA,< 1 year,0
25000.00,2013-01-01,other,647,7.68%,126xx,NY,< 1 year,0
7500.00,2013-01-01,credit_card,681,48.71%,086xx,NJ,< 1 year,0
15000.00,2013-01-01,credit_card,684,36.88%,333xx,FL,< 1 year,0
1000.00,2013-01-01,medical,0,0%,700xx,LA,< 1 year,0
15275.00,2013-01-01,car,491,28.8%,786xx,TX,< 1 year,0
5000.00,2013-01-01,debt_consolidation,586,4.99%,080xx,NJ,< 1 year,0
8000.00,2013-01-01,credit_card,675,8.82%,628xx,IL,< 1 year,0
3000.00,2013-01-01,debt_consolidation,600,18.28%,112xx,NY,< 1 year,0
28000.00,2013-01-01,debt_consolidation,636,15.12%,701xx,LA,< 1 year,0
5000.00,2013-01-01,debt_consolidation,0,0%,604xx,IL,< 1 year,0
35000.00,2013-01-01,debt_consolidation,0,0%,294xx,SC,< 1 year,0
15000.00,2013-01-01,debt_consolidation,659,24035.2%,481xx,MI,< 1 year,0
5000.00,2013-01-01,debt_consolidation,666,22.54%,160xx,PA,< 1 year,0
2000.00,2013-01-01,credit_card,576,33.6%,278xx,NC,< 1 year,0
12000.00,2013-01-01,debt_consolidation,757,25.97%,021xx,MA,< 1 year,0
18400.00,2013-01-01,debt_consolidation,608,19%,606xx,IL,< 1 year,0
10000.00,2013-01-01,debt_consolidation,651,6.4%,274xx,NC,< 1 year,0
20000.00,2013-01-01,debt_consolidation,698,14.31%,274xx,NC,< 1 year,0
21000.00,2013-01-01,debt_consolidation,530,55.07%,273xx,NC,< 1 year,0
25000.00,2013-01-01,medical,627,1.25%,531xx,WI,< 1 year,0
8000.00,2013-01-01,debt_consolidation,623,12.25%,551xx,MN,< 1 year,0
18000.00,2013-01-01,debt_consolidation,682,29.62%,774xx,TX,< 1 year,0
22500.00,2013-01-01,debt_consolidation,639,14.41%,337xx,FL,< 1 year,0
6500.00,2013-01-01,credit_card,680,82.33%,482xx,MI,< 1 year,0
35000.00,2013-01-01,Debt Consolidation,708,22.04%,079xx,NJ,3 years,0
9500.00,2013-01-01,debt_consolidation,672,34.2%,217xx,MD,< 1 year,0
12000.00,2013-01-01,Consolidation Loan,706,25.27%,720xx,AR,8 years,0
5000.00,2013-01-01,debt_consolidation,605,38.04%,299xx,SC,8 years,0
6000.00,2013-01-01,debt_consolidation,647,16.97%,324xx,FL,< 1 year,0
20000.00,2013-01-01,debt_consolidation,630,4.34%,982xx,WA,< 1 year,0
19000.00,2013-01-01,debt_consolidation,651,62.24%,118xx,NY,< 1 year,0
16500.00,2013-01-01,credit_card,672,39.33%,032xx,NH,< 1 year,0
20000.00,2013-01-01,debt_consolidation,636,20.95%,786xx,TX,< 1 year,0
30000.00,2013-01-01,debt_consolidation,638,14.02%,495xx,MI,< 1 year,0
10000.00,2013-01-01,debt_consolidation,634,18.95%,144xx,NY,< 1 year,0
35000.00,2013-01-01,credit_card,681,43.39%,480xx,MI,< 1 year,0
4000.00,2013-01-01,debt_consolidation,678,42.97%,016xx,MA,< 1 year,0
2500.00,2013-01-01,other,688,11.82%,900xx,CA,< 1 year,0
10000.00,2013-01-01,home_improvement,620,37.87%,573xx,SD,< 1 year,0
7000.00,2013-01-01,other,654,39.28%,069xx,FL,< 1 year,0
1250.00,2013-01-01,major_purchase,696,44.8%,550xx,MN,< 1 year,0
35000.00,2013-01-01,house,658,13.57%,328xx,FL,< 1 year,0
5000.00,2013-01-01,credit_card,629,17.37%,180xx,PA,< 1 year,0
2000.00,2013-01-01,debt_consolidation,615,20.61%,493xx,MI,< 1 year,0
8000.00,2013-01-01,pay off credit cards,676,11.6%,189xx,PA,10+ years,0
2000.00,2013-01-01,debt_consolidation,634,8.95%,018xx,MA,< 1 year,0
35000.00,2013-01-01,credit_card,657,18.26%,245xx,VA,< 1 year,0
5000.00,2013-01-01,debt_consolidation,635,1.77%,948xx,CA,< 1 year,0
15000.00,2013-01-01,debt_consolidation,628,21.84%,440xx,OH,< 1 year,0
35000.00,2013-01-01,debt_consolidation,648,18.97%,605xx,IL,< 1 year,0
10000.00,2013-01-01,debt_consolidation,692,36.23%,802xx,CO,< 1 year,0
1000.00,2013-01-01,other,452,8.55%,402xx,KY,< 1 year,0
10000.00,2013-01-01,debt_consolidation,704,33.09%,032xx,NH,< 1 year,0
5000.00,2013-01-01,medical,572,6.26%,731xx,OK,< 1 year,0
5000.00,2013-01-01,other,491,22.31%,193xx,PA,< 1 year,0
35000.00,2013-01-01,debt_consolidation,634,13.91%,117xx,NY,< 1 year,0
2500.00,2013-01-01,wedding,0,0%,300xx,GA,< 1 year,0
8325.00,2013-01-01,debt_consolidation,650,24.38%,191xx,PA,< 1 year,0
20000.00,2013-01-01,debt_consolidation,705,22.21%,959xx,CA,< 1 year,0
6000.00,2013-01-01,debt_consolidation,498,11.6%,330xx,FL,< 1 year,0
35000.00,2013-01-01,debt_consolidation,642,10.29%,827xx,WY,< 1 year,0
3500.00,2013-01-01,other,594,23.44%,785xx,TX,< 1 year,0
25000.00,2013-01-01,debt_consolidation,671,15.68%,064xx,CT,< 1 year,0
16000.00,2013-01-01,debt_consolidation,644,19.77%,289xx,NC,< 1 year,0
35000.00,2013-01-01,debt_consolidation,690,35.14%,614xx,IL,< 1 year,0
20000.00,2013-01-01,debt_consolidation,659,10.3%,065xx,CT,< 1 year,0
14700.00,2013-01-01,debt_consolidation,691,36.29%,281xx,NC,3 years,0
35000.00,2013-01-01,credit_card,605,12.7%,616xx,IL,< 1 year,0
3000.00,2013-01-01,debt_consolidation,586,15.96%,207xx,MD,< 1 year,0
20000.00,2013-01-01,credit_card,635,17.04%,080xx,NJ,< 1 year,0
35000.00,2013-01-01,other,0,0%,381xx,TN,< 1 year,0
1500.00,2013-01-01,other,466,0%,191xx,PA,< 1 year,0
15000.00,2013-01-01,debt_consolidation,653,44.4%,342xx,FL,< 1 year,0
1500.00,2013-01-01,other,0,5.17%,483xx,MI,< 1 year,0
30000.00,2013-01-01,credit_card,658,21.02%,773xx,TX,< 1 year,0
35000.00,2013-01-01,debt_consolidation,738,30.06%,977xx,OR,< 1 year,0
1000.00,2013-01-01,moving,655,20.29%,085xx,NJ,< 1 year,0
